,KataKunci,Tweet,TweetGeolokasi,TweetNonDuplikat
0,Covid-19,10000,308,286
1,Covid-19,10000,291,291
2,Covid-19,10000,266,266
3,Covid-19,10000,190,190
4,Covid-19,10000,282,275
5,Covid-19,10000,232,231
6,SARS-CoV-2,316,16,16
7,SARS-CoV-2,293,5,5
8,SARS-CoV-2,545,7,7
9,SARS-CoV-2,788,15,15
10,SARS-CoV-2,554,9,9
11,SARS-CoV-2,955,7,7
12,Coronavirus,3618,92,92
13,Coronavirus,3009,65,65
14,Coronavirus,2251,41,41
15,Coronavirus,2782,52,52
16,Coronavirus,2139,35,35
17,Coronavirus,1841,17,17
18,Batuk,10000,206,206
19,Batuk,10000,201,201
20,Batuk,10000,195,195
21,Batuk,10000,162,162
22,Batuk,10000,155,155
23,Batuk,10000,166,166
24,Batuk Kering,339,9,9
25,Batuk Kering,318,14,14
26,Batuk Kering,554,8,8
27,Batuk Kering,1214,19,19
28,Batuk Kering,413,11,11
29,Batuk Kering,249,3,3
30,Pilek,10000,159,159
31,Pilek,10000,156,155
32,Pilek,10000,155,155
33,Pilek,10000,156,156
34,Pilek,10000,124,124
35,Pilek,10000,110,110
36,Kelelahan,2965,53,53
37,Kelelahan,2764,49,49
38,Kelelahan,3776,76,76
39,Kelelahan,4586,69,69
40,Kelelahan,4397,50,49
41,Kelelahan,4100,41,41
42,Sakit Kepala,10000,212,209
43,Sakit Kepala,10000,252,252
44,Sakit Kepala,10000,225,225
45,Sakit Kepala,10000,205,205
46,Sakit Kepala,10000,171,167
47,Sakit Kepala,10000,183,182
48,Demam,10000,302,302
49,Demam,10000,362,362
50,Demam,10000,237,237
51,Demam,10000,243,243
52,Demam,10000,208,208
53,Demam,10000,188,188
54,Sesak Napas,2011,32,32
55,Sesak Napas,2201,32,32
56,Sesak Napas,2734,43,43
57,Sesak Napas,4402,70,70
58,Sesak Napas,2628,40,40
59,Sesak Napas,2047,28,28
60,Sakit Tenggorokan,5669,66,66
61,Sakit Tenggorokan,5670,70,70
62,Sakit Tenggorokan,6556,87,87
63,Sakit Tenggorokan,7415,88,88
64,Sakit Tenggorokan,4470,47,47
65,Sakit Tenggorokan,4978,45,45
66,Sakit Tenggorokan,5668,66,66
67,Sakit Tenggorokan,5670,70,70
68,Sakit Tenggorokan,6553,87,87
69,Sakit Tenggorokan,7415,88,88
70,Sakit Tenggorokan,4470,47,47
71,Sakit Tenggorokan,4979,45,45
72,Diare,4821,98,98
73,Diare,5620,98,98
74,Diare,6558,115,115
75,Diare,6821,110,110
76,Diare,5538,72,72
77,Diare,4950,66,66
78,Delta,3579,102,100
79,Delta,4561,98,98
80,Delta,10000,230,229
81,Delta,10000,246,246
82,Delta,10000,351,348
83,Delta,9241,213,213
